date,open,close,high,low,volume
2020-01-02,0.633,0.631,0.636,0.622,750479.0
2020-01-03,0.633,0.643,0.65,0.627,1474403.0
2020-01-06,0.65,0.67,0.672,0.65,1458400.0
2020-01-07,0.662,0.66,0.665,0.653,1154906.0
2020-01-08,0.67,0.66,0.683,0.655,1301119.0
2020-01-09,0.652,0.651,0.659,0.646,1043839.0
2020-01-10,0.649,0.647,0.651,0.64,585452.0
2020-01-13,0.646,0.653,0.655,0.639,862244.0
2020-01-14,0.655,0.671,0.68,0.655,1421222.0
2020-01-15,0.664,0.654,0.667,0.648,728466.0
2020-01-16,0.65,0.65,0.66,0.646,390057.0
2020-01-17,0.654,0.648,0.655,0.641,446196.0
2020-01-20,0.646,0.652,0.653,0.639,638792.0
2020-01-21,0.653,0.634,0.653,0.629,733960.0
2020-01-22,0.627,0.639,0.646,0.617,1146212.0
2020-01-23,0.633,0.617,0.642,0.605,924916.0
2020-02-03,0.545,0.545,0.566,0.545,362203.0
2020-02-04,0.543,0.558,0.61,0.539,661707.0
2020-02-05,0.559,0.577,0.588,0.555,636495.0
2020-02-06,0.577,0.586,0.587,0.564,688899.0
2020-02-07,0.577,0.579,0.584,0.567,483705.0
2020-02-10,0.573,0.61,0.611,0.573,741370.0
2020-02-11,0.61,0.606,0.618,0.598,725089.0
2020-02-12,0.602,0.643,0.644,0.601,888418.0
2020-02-13,0.644,0.642,0.659,0.635,1264545.0
2020-02-14,0.641,0.66,0.672,0.641,1202678.0
2020-02-17,0.664,0.676,0.678,0.654,1054382.0
2020-02-18,0.68,0.679,0.684,0.667,874520.0
2020-02-19,0.675,0.661,0.675,0.658,1011918.0
2020-02-20,0.659,0.665,0.665,0.651,766916.0
2020-02-21,0.667,0.678,0.681,0.666,1211298.0
2020-02-24,0.681,0.674,0.687,0.657,897482.0
2020-02-25,0.655,0.679,0.681,0.651,961865.0
2020-02-26,0.66,0.651,0.67,0.648,870900.0
2020-02-27,0.652,0.649,0.658,0.644,438341.0
2020-02-28,0.624,0.6,0.634,0.598,891677.0
2020-03-02,0.604,0.621,0.624,0.601,473276.0
2020-03-03,0.637,0.629,0.643,0.623,643973.0
2020-03-04,0.629,0.64,0.641,0.625,603205.0
2020-03-05,0.648,0.646,0.648,0.634,986207.0
2020-03-06,0.641,0.645,0.654,0.638,599173.0
2020-03-09,0.633,0.607,0.638,0.605,1015040.0
2020-03-10,0.596,0.617,0.617,0.585,719503.0
2020-03-11,0.619,0.607,0.619,0.606,389694.0
2020-03-12,0.598,0.588,0.598,0.581,486985.0
2020-03-13,0.556,0.574,0.582,0.546,749947.0
2020-03-16,0.574,0.545,0.58,0.543,571257.0
2020-03-17,0.547,0.537,0.555,0.521,762577.0
2020-03-18,0.541,0.525,0.548,0.523,383972.0
2020-03-19,0.523,0.52,0.525,0.503,874098.0
2020-03-20,0.523,0.531,0.531,0.512,499114.0
2020-03-23,0.513,0.504,0.518,0.502,709426.0
2020-03-24,0.525,0.532,0.533,0.515,843263.0
2020-03-25,0.551,0.547,0.554,0.541,1117486.0
2020-03-26,0.541,0.539,0.546,0.533,449982.0
2020-03-27,0.543,0.534,0.545,0.534,651369.0
2020-03-30,0.528,0.519,0.528,0.514,381523.0
2020-03-31,0.522,0.526,0.53,0.518,809849.0
2020-04-01,0.523,0.537,0.541,0.52,658159.0
2020-04-02,0.529,0.542,0.542,0.524,993034.0
2020-04-03,0.54,0.534,0.545,0.533,755171.0
2020-04-07,0.547,0.557,0.559,0.545,737682.0
2020-04-08,0.552,0.561,0.567,0.551,566119.0
2020-04-09,0.564,0.559,0.564,0.555,440797.0
2020-04-10,0.566,0.547,0.568,0.547,489420.0
2020-04-13,0.544,0.544,0.548,0.541,283186.0
2020-04-14,0.549,0.569,0.57,0.549,703209.0
2020-04-15,0.567,0.563,0.572,0.561,441989.0
