date,open,close,high,low,volume
2023-07-27,0.249,0.246,0.25,0.245,3363979.0
2023-07-28,0.246,0.247,0.249,0.245,924394.0
2023-07-31,0.247,0.25,0.251,0.247,2169988.0
2023-08-01,0.25,0.25,0.251,0.248,689488.0
2023-08-02,0.25,0.251,0.253,0.249,2370511.0
2023-08-03,0.249,0.251,0.253,0.249,568125.0
2023-08-04,0.251,0.25,0.252,0.248,506768.0
2023-08-07,0.249,0.249,0.25,0.249,351849.0
2023-08-08,0.249,0.248,0.25,0.248,426170.0
2023-08-09,0.248,0.246,0.248,0.246,369437.0
2023-08-10,0.246,0.248,0.25,0.246,366434.0
2023-08-11,0.248,0.243,0.248,0.243,509868.0
2023-08-14,0.241,0.241,0.242,0.238,343982.0
2023-08-15,0.241,0.237,0.242,0.234,843631.0
2023-08-16,0.237,0.233,0.238,0.233,644171.0
2023-08-17,0.234,0.235,0.235,0.231,862187.0
2023-08-18,0.234,0.232,0.236,0.232,883468.0
2023-08-21,0.231,0.23,0.233,0.229,480867.0
2023-08-22,0.229,0.231,0.231,0.225,560096.0
2023-08-23,0.23,0.224,0.231,0.224,406089.0
2023-08-24,0.225,0.227,0.231,0.224,450888.0
2023-08-25,0.226,0.223,0.226,0.222,471923.0
2023-08-28,0.234,0.223,0.236,0.222,558050.0
2023-08-29,0.223,0.233,0.233,0.222,774920.0
2023-08-30,0.238,0.24,0.243,0.236,694307.0
2023-08-31,0.24,0.245,0.245,0.238,988074.0
2023-09-01,0.245,0.243,0.249,0.242,850381.0
2023-09-04,0.244,0.245,0.247,0.24,826149.0
2023-09-05,0.245,0.245,0.248,0.244,826951.0
2023-09-06,0.245,0.253,0.254,0.243,1914957.0
2023-09-07,0.251,0.242,0.251,0.242,1477845.0
2023-09-08,0.241,0.244,0.247,0.24,1227290.0
2023-09-11,0.243,0.244,0.247,0.242,786448.0
2023-09-12,0.243,0.242,0.244,0.241,597561.0
2023-09-13,0.241,0.24,0.244,0.238,633879.0
2023-09-14,0.238,0.236,0.24,0.235,704433.0
2023-09-15,0.236,0.237,0.24,0.233,753585.0
2023-09-18,0.235,0.233,0.236,0.232,633971.0
2023-09-19,0.234,0.23,0.234,0.228,636463.0
2023-09-20,0.228,0.227,0.231,0.227,533514.0
2023-09-21,0.225,0.225,0.228,0.225,686029.0
2023-09-22,0.225,0.23,0.23,0.224,815195.0
2023-09-25,0.23,0.23,0.231,0.227,585509.0
2023-09-26,0.229,0.228,0.23,0.227,493863.0
2023-09-27,0.228,0.228,0.232,0.227,517228.0
2023-09-28,0.229,0.235,0.237,0.227,988474.0
2023-10-09,0.234,0.235,0.236,0.232,647321.0
2023-10-10,0.235,0.234,0.237,0.234,762379.0
2023-10-11,0.234,0.236,0.236,0.233,705723.0
2023-10-12,0.236,0.241,0.242,0.235,966736.0
2023-10-13,0.239,0.24,0.241,0.238,702531.0
2023-10-16,0.239,0.233,0.24,0.232,721841.0
2023-10-17,0.233,0.237,0.237,0.232,723781.0
2023-10-18,0.236,0.233,0.239,0.233,595459.0
2023-10-19,0.232,0.233,0.237,0.23,764599.0
2023-10-20,0.231,0.229,0.233,0.228,551302.0
2023-10-23,0.228,0.224,0.228,0.223,591068.0
2023-10-24,0.226,0.233,0.236,0.224,1535310.0
2023-10-25,0.234,0.232,0.235,0.23,859082.0
2023-10-26,0.229,0.232,0.232,0.228,891528.0
2023-10-27,0.23,0.236,0.238,0.229,1012939.0
2023-10-30,0.235,0.241,0.242,0.234,1122739.0
2023-10-31,0.241,0.241,0.245,0.238,960921.0
2023-11-01,0.24,0.239,0.242,0.239,571184.0
2023-11-02,0.24,0.235,0.241,0.234,847799.0
2023-11-03,0.235,0.24,0.241,0.235,880934.0
2023-11-06,0.242,0.245,0.246,0.24,843774.0
2023-11-07,0.243,0.245,0.246,0.242,695767.0
2023-11-08,0.244,0.249,0.252,0.244,1043174.0
2023-11-09,0.249,0.247,0.251,0.246,800336.0
2023-11-10,0.247,0.247,0.25,0.245,838416.0
2023-11-13,0.248,0.248,0.249,0.246,688305.0
