date,advancers,unchanged,decliners,quoted_total,emotion,limit_up,limit_down,last_update_time,source
2022-01-04,3299,50,1243,4592,71.84233449477352,121,24,2022-01-04 15:00:15,同花顺涨跌分布
2022-01-05,1153,83,3435,4671,24.684221794048383,73,37,2022-01-06 19:36:40,同花顺涨跌分布
2022-01-06,2987,152,1535,4674,63.90671801454857,98,9,2022-01-06 19:47:05,同花顺涨跌分布
2022-01-07,987,70,3620,4677,21.103271327774216,53,26,2022-01-07 15:01:15,同花顺涨跌分布
2022-01-10,3105,144,1428,4677,66.38871071199488,91,15,2022-01-10 15:07:30,同花顺涨跌分布
2022-01-11,1695,162,2823,4680,36.21794871794872,72,12,2022-01-11 15:01:26,同花顺涨跌分布
2022-01-12,3411,142,1129,4682,72.85348141819735,106,4,2022-01-12 15:01:15,同花顺涨跌分布
2022-01-13,1273,150,3260,4683,27.18342942558189,65,16,2022-01-13 15:01:15,同花顺涨跌分布
2022-01-14,1547,48,3088,4683,33.03437967115097,84,19,2022-01-14 15:31:15,同花顺涨跌分布
2022-01-17,3364,132,1188,4684,71.81895815542272,115,30,2022-01-17 15:01:15,同花顺涨跌分布
2022-01-18,1359,90,3240,4689,28.982725527831093,55,63,2022-01-18 15:01:15,同花顺涨跌分布
2022-01-19,2381,128,2179,4688,50.78924914675768,71,20,2022-01-19 15:01:15,同花顺涨跌分布
2022-01-20,820,34,3835,4689,17.487737257410963,50,30,2022-01-20 15:01:15,同花顺涨跌分布
2022-01-21,1394,127,3169,4690,29.722814498933904,60,51,2022-01-21 15:15:15,同花顺涨跌分布
2022-01-24,1795,125,2772,4692,38.25660699062234,67,44,2022-01-24 15:01:15,同花顺涨跌分布
2022-01-25,272,11,4409,4692,5.797101449275362,32,81,2022-01-25 15:31:15,同花顺涨跌分布
2022-01-26,3137,121,1435,4693,66.84423609631367,61,49,2022-01-26 15:01:15,同花顺涨跌分布
2022-01-27,271,26,4402,4699,5.767184507341987,18,110,2022-01-27 15:19:45,同花顺涨跌分布
2022-01-28,3356,72,1276,4704,71.34353741496598,63,39,2022-01-28 15:01:15,同花顺涨跌分布
2022-02-07,3513,66,1125,4704,74.6811224489796,110,47,2022-02-07 15:31:15,同花顺涨跌分布
2022-02-08,3679,46,978,4703,78.22666383159685,97,18,2022-02-08 15:01:15,同花顺涨跌分布
2022-02-09,3546,164,995,4705,75.36663124335813,115,6,2022-02-09 15:08:45,同花顺涨跌分布
2022-02-10,1708,159,2842,4709,36.27097048205564,68,8,2022-02-10 15:01:15,同花顺涨跌分布
2022-02-11,598,67,4044,4709,12.69908685495859,59,21,2022-02-11 15:01:15,同花顺涨跌分布
2022-02-14,2201,152,2357,4710,46.73036093418259,97,19,2022-02-14 15:17:15,同花顺涨跌分布
2022-02-15,2423,174,2115,4712,51.42190152801358,68,18,2022-02-15 15:01:15,同花顺涨跌分布
2022-02-16,2627,93,834,3554,73.91671356218346,83,4,2023-03-21 20:47:52,同花顺涨跌分布
2022-02-17,1593,109,3012,4714,33.79295714891812,58,15,2022-02-17 15:31:15,同花顺涨跌分布
2022-02-18,3102,134,1481,4717,65.7621369514522,71,1,2022-02-18 15:01:15,同花顺涨跌分布
2022-02-21,3428,117,1172,4717,72.67330930676277,115,6,2022-02-21 15:01:15,同花顺涨跌分布
2022-02-22,895,54,3769,4718,18.96990250105977,62,10,2022-02-22 15:01:15,同花顺涨跌分布
2022-02-23,3608,136,976,4720,76.4406779661017,102,3,2022-02-23 15:31:15,同花顺涨跌分布
2022-02-24,658,36,4027,4721,13.937725058250372,46,36,2022-02-24 15:31:15,同花顺涨跌分布
2022-02-25,3383,149,1189,4721,71.65854691802585,75,7,2022-02-25 15:01:15,同花顺涨跌分布
2022-02-28,1981,141,2601,4723,41.94367986449291,60,20,2022-02-28 15:01:15,同花顺涨跌分布
2022-03-01,3207,132,1385,4724,67.88738357324301,70,7,2022-03-01 15:01:15,同花顺涨跌分布
2022-03-02,2623,159,1941,4723,55.536735125979256,74,2,2022-03-02 15:01:15,同花顺涨跌分布
2022-03-03,1892,120,2711,4723,40.05928435316536,90,10,2022-03-03 15:01:15,同花顺涨跌分布
2022-03-04,1032,80,3613,4725,21.84126984126984,59,26,2022-03-04 15:01:15,同花顺涨跌分布
2022-03-07,836,68,3822,4726,17.689377909437155,64,23,2022-03-07 15:01:15,同花顺涨跌分布
2022-03-08,451,21,4252,4724,9.546994072819643,23,75,2022-03-08 15:01:15,同花顺涨跌分布
2022-03-09,1081,38,3604,4723,22.88799491848401,53,23,2022-03-09 15:01:15,同花顺涨跌分布
2022-03-10,3636,104,985,4725,76.95238095238095,99,4,2022-03-10 15:01:15,同花顺涨跌分布
2022-03-11,2919,152,1658,4729,61.725523366462255,78,9,2022-03-11 15:01:15,同花顺涨跌分布
2022-03-14,435,24,4275,4734,9.188846641318124,51,35,2022-03-14 15:01:15,同花顺涨跌分布
2022-03-15,245,7,4486,4738,5.1709582102152805,34,137,2022-03-15 15:01:15,同花顺涨跌分布
2022-03-16,4319,32,388,4739,91.1373707533235,137,7,2022-03-16 15:01:15,同花顺涨跌分布
2022-03-17,3776,122,843,4741,79.64564437882304,114,3,2022-04-11 16:52:48,同花顺涨跌分布
2022-03-18,3516,74,1153,4743,74.13029728020241,123,2,2022-04-11 16:52:52,同花顺涨跌分布
2022-03-21,3215,157,1373,4745,67.75553213909379,136,2,2022-03-21 15:01:15,同花顺涨跌分布
2022-03-22,1971,161,2619,4751,41.48600294674805,97,13,2022-03-22 15:01:15,同花顺涨跌分布
2022-03-23,2316,178,2260,4754,48.71687000420699,84,13,2022-03-23 15:01:15,同花顺涨跌分布
