board_name,board_type,pct_change,inflow,outflow,net_amount,company_count,leader,leader_pct_change,current_price,theme,as_of
液冷服务器,concept,1.65,1073.71,939.98,133.73,228.0,网宿科技,20.01,17.33,液冷,2026-08-14
共封装光学(CPO),concept,2.94,1582.63,1449.87,132.76,205.0,金戈新材,29.98,40.89,CPO,2026-08-14
数据中心(AIDC),concept,0.79,2200.78,2106.18,94.6,650.0,网宿科技,20.01,17.33,液冷,2026-08-14
芯片概念,concept,1.52,3203.28,3114.65,88.63,915.0,敏芯股份,20.01,53.56,芯片,2026-08-14
存储芯片,concept,2.27,1307.66,1256.85,50.82,200.0,阿莱德,20.0,37.62,芯片,2026-08-14
PCB概念,concept,2.08,824.02,773.98,50.04,236.0,瑞丰高材,16.09,16.88,PCB,2026-08-14
算力租赁,concept,0.69,597.3,548.79,48.51,184.0,网宿科技,20.01,17.33,液冷,2026-08-14
人形机器人,concept,0.6,926.88,889.65,37.23,462.0,敏芯股份,20.01,53.56,机器人,2026-08-14
铜缆高速连接,concept,2.33,224.77,188.1,36.67,47.0,中富电路,11.74,155.88,CPO,2026-08-14
稀土永磁,concept,2.07,159.24,123.63,35.61,65.0,金田股份,10.05,10.95,稀土,2026-08-14
东数西算(算力),concept,0.78,1292.14,1258.82,33.32,409.0,网宿科技,20.01,17.33,液冷,2026-08-14
小金属概念,concept,0.63,474.9,446.34,28.57,171.0,成都路桥,10.1,5.56,小金属,2026-08-14
小金属,industry,1.99,170.48,142.1,28.38,29.0,中国稀土,10.0,60.95,小金属,2026-08-14
商业航天,concept,0.8,963.31,939.71,23.6,503.0,蓝盾光电,20.0,47.29,商业航天,2026-08-14
MCU芯片,concept,1.4,314.24,291.43,22.8,95.0,盈新发展,10.18,3.03,芯片,2026-08-14
光刻机,concept,2.42,173.18,151.78,21.4,51.0,中瓷电子,10.0,130.08,半导体设备,2026-08-14
电子化学品,industry,4.07,171.56,155.37,16.19,43.0,中石科技,20.01,67.36,半导体材料,2026-08-14
光刻胶,concept,2.08,137.22,123.76,13.46,79.0,阿拉丁,10.88,24.25,半导体材料,2026-08-14
钙钛矿电池,concept,1.0,198.29,184.94,13.35,91.0,逸飞激光,9.35,75.45,小金属,2026-08-14
无人机,concept,0.77,588.79,578.41,10.38,464.0,中石科技,20.01,67.36,商业航天,2026-08-14
低空经济,concept,0.52,626.99,619.52,7.47,498.0,金博股份,13.56,37.02,商业航天,2026-08-14
卫星导航,concept,0.74,491.4,487.13,4.27,280.0,中瓷电子,10.0,130.08,商业航天,2026-08-14
减速器,concept,0.01,126.24,123.46,2.77,139.0,斯莱克,6.9,16.11,机器人,2026-08-14
半导体,industry,1.86,1126.7,1126.11,0.59,185.0,敏芯股份,20.01,53.56,半导体,2026-08-14
汽车芯片,concept,1.43,553.87,555.37,-1.5,144.0,联芸科技,11.26,69.65,芯片,2026-08-14
机器视觉,concept,0.84,353.55,355.29,-1.74,251.0,越剑智能,10.02,14.94,机器人,2026-08-14
工业母机,concept,0.67,148.27,150.74,-2.47,115.0,万讯自控,6.61,9.52,机器人,2026-08-14
钛白粉概念,concept,-0.47,8.0,10.49,-2.49,15.0,道恩股份,0.82,24.72,小金属,2026-08-14
先进封装,concept,2.12,923.68,926.24,-2.56,204.0,中富电路,11.74,155.88,半导体,2026-08-14
机器人概念,concept,0.48,1746.28,1757.45,-11.16,1216.0,敏芯股份,20.01,53.56,机器人,2026-08-14
第三代半导体,concept,1.52,567.32,581.09,-13.77,181.0,金博股份,13.56,37.02,半导体,2026-08-14
